	Vector time	gfs.168.110.total_high_cloud.comb
428	04.09.2022 09:00:00	2,377874
429	04.09.2022 10:00:00	93,486457
430	04.09.2022 11:00:00	101,713074
431	04.09.2022 12:00:00	72,201658
432	04.09.2022 13:00:00	12,055495
433	04.09.2022 14:00:00	55,871769
434	04.09.2022 15:00:00	26,04116
435	04.09.2022 16:00:00	9,830683
436	04.09.2022 17:00:00	-0,068377
437	04.09.2022 18:00:00	-0,01422
438	04.09.2022 19:00:00	0
439	04.09.2022 21:00:00	3,148527
440	04.09.2022 22:00:00	21,263054
441	04.09.2022 23:00:00	99,425337
442	05.09.2022 00:00:00	100
443	05.09.2022 01:00:00	99,610957
444	05.09.2022 02:00:00	55,15932
445	05.09.2022 03:00:00	48,816784
446	05.09.2022 04:00:00	9,9277
447	05.09.2022 05:00:00	4,993799
448	05.09.2022 06:00:00	5,033146
449	05.09.2022 07:00:00	5
450	05.09.2022 08:00:00	4,996769
451	05.09.2022 09:00:00	5,005891
452	05.09.2022 10:00:00	5
453	05.09.2022 13:00:00	0,989872
454	05.09.2022 14:00:00	1,843435
455	05.09.2022 15:00:00	-0,025154
456	05.09.2022 16:00:00	2,973047
457	05.09.2022 17:00:00	0,158237
458	05.09.2022 18:00:00	-0,00387
459	05.09.2022 19:00:00	0,591269
460	05.09.2022 20:00:00	2,982364
461	05.09.2022 21:00:00	4,375796
462	05.09.2022 22:00:00	4,931949
463	05.09.2022 23:00:00	2,446835
464	06.09.2022 00:00:00	12,327097
465	06.09.2022 01:00:00	5
466	06.09.2022 02:00:00	3,968916
467	06.09.2022 03:00:00	4,578645
468	06.09.2022 04:00:00	5
469	06.09.2022 06:00:00	4,628329
470	06.09.2022 07:00:00	10,849802
471	06.09.2022 08:00:00	4,893105
472	06.09.2022 09:00:00	14,289396
473	06.09.2022 10:00:00	14,422371
474	06.09.2022 11:00:00	2,70271
475	06.09.2022 12:00:00	0,01677
476	06.09.2022 13:00:00	29,421978
477	06.09.2022 14:00:00	6,126022
478	06.09.2022 15:00:00	5,201309
479	06.09.2022 16:00:00	105,180107
480	06.09.2022 17:00:00	100,225102
481	06.09.2022 18:00:00	100
482	06.09.2022 21:00:00	95,531569
483	06.09.2022 22:00:00	98,091245
484	06.09.2022 23:00:00	51,334748
485	07.09.2022 00:00:00	61,570705
486	07.09.2022 01:00:00	27,099781
487	07.09.2022 02:00:00	82,493765
488	07.09.2022 03:00:00	56,721915
489	07.09.2022 04:00:00	103,025245
490	07.09.2022 05:00:00	17,509684
491	07.09.2022 06:00:00	-0,189785
492	07.09.2022 07:00:00	0
493	07.09.2022 13:00:00	-0,001958
494	07.09.2022 14:00:00	-0,029157
495	07.09.2022 15:00:00	0
496	07.09.2022 16:00:00	-0,03775
