	Vector time	sun.ele.GFS_168
293	18.08.2022 01:00:00	-27,1636168
294	18.08.2022 01:15:00	-26,6705725
295	18.08.2022 01:30:00	-26,0091067
296	18.08.2022 01:45:00	-25,184796
297	18.08.2022 02:00:00	-24,2042889
298	18.08.2022 02:15:00	-23,0750866
299	18.08.2022 02:30:00	-21,8053205
300	18.08.2022 02:45:00	-20,4035403
301	18.08.2022 03:00:00	-18,8785212
302	18.08.2022 03:15:00	-17,2390982
303	18.08.2022 03:30:00	-15,4940311
304	18.08.2022 03:45:00	-13,6518985
305	18.08.2022 04:00:00	-11,7210225
306	18.08.2022 04:15:00	-9,7094178
307	18.08.2022 04:30:00	-7,6247644
308	18.08.2022 04:45:00	-5,4743994
309	18.08.2022 05:00:00	-3,2653236
310	18.08.2022 05:15:00	-1,0042212
311	18.08.2022 05:30:00	1,3025108
312	18.08.2022 05:45:00	3,6487253
313	18.08.2022 06:00:00	6,0284807
314	18.08.2022 06:15:00	8,4359911
315	18.08.2022 06:30:00	10,8655717
316	18.08.2022 06:45:00	13,3115782
317	18.08.2022 07:00:00	15,7683406
318	18.08.2022 07:15:00	18,2300912
319	18.08.2022 07:30:00	20,6908844
320	18.08.2022 07:45:00	23,1445088
321	18.08.2022 08:00:00	25,5843878
322	18.08.2022 08:15:00	28,0034695
323	18.08.2022 08:30:00	30,3941031
324	18.08.2022 08:45:00	32,7479011
325	18.08.2022 09:00:00	35,0555876
326	18.08.2022 09:15:00	37,3068347
327	18.08.2022 09:30:00	39,4900904
328	18.08.2022 09:45:00	41,5924108
329	18.08.2022 10:00:00	43,5993094
330	18.08.2022 10:15:00	45,4946539
331	18.08.2022 10:30:00	47,2606459
332	18.08.2022 10:45:00	48,8779381
333	18.08.2022 11:00:00	50,3259491
334	18.08.2022 11:15:00	51,5834396
335	18.08.2022 11:30:00	52,6293923
336	18.08.2022 11:45:00	53,4441917
337	18.08.2022 12:00:00	54,0110186
338	18.08.2022 12:15:00	54,3172837
339	18.08.2022 12:30:00	54,3558486
340	18.08.2022 12:45:00	54,1257753
341	18.08.2022 13:00:00	53,6324274
342	18.08.2022 13:15:00	52,8868965
343	18.08.2022 13:30:00	51,9048942
344	18.08.2022 13:45:00	50,7053526
