	Vector time	gfs.168.107.total_cloud.comb
282	27.08.2022 05:00:00	4,658857
283	27.08.2022 06:00:00	4,720555
284	27.08.2022 07:00:00	4,776061
285	27.08.2022 08:00:00	2,002112
286	27.08.2022 09:00:00	1,83067
287	27.08.2022 10:00:00	5,129531
288	27.08.2022 11:00:00	5,233589
289	27.08.2022 12:00:00	34,908577
290	27.08.2022 13:00:00	36,435761
291	27.08.2022 14:00:00	51,329805
292	27.08.2022 15:00:00	17,612039
293	27.08.2022 16:00:00	56,945753
294	27.08.2022 17:00:00	64,407072
295	27.08.2022 18:00:00	51,898539
296	27.08.2022 19:00:00	17,784817
297	27.08.2022 20:00:00	-2,927313
298	27.08.2022 21:00:00	6,703105
299	27.08.2022 22:00:00	4,417059
300	27.08.2022 23:00:00	0,003707
301	28.08.2022 00:00:00	-0,747855
302	28.08.2022 01:00:00	5,831565
303	28.08.2022 02:00:00	36,075249
304	28.08.2022 03:00:00	96,953294
305	28.08.2022 04:00:00	9,751746
306	28.08.2022 05:00:00	0,220192
307	28.08.2022 06:00:00	12,006186
308	28.08.2022 07:00:00	82,404875
309	28.08.2022 08:00:00	96,360483
310	28.08.2022 09:00:00	86,951465
311	28.08.2022 10:00:00	28,393629
312	28.08.2022 11:00:00	6,349198
313	28.08.2022 12:00:00	19,497167
314	28.08.2022 13:00:00	22,191914
315	28.08.2022 14:00:00	32,371451
316	28.08.2022 15:00:00	25,444844
317	28.08.2022 16:00:00	68,514887
318	28.08.2022 17:00:00	99,502685
319	28.08.2022 18:00:00	101,195354
320	28.08.2022 19:00:00	103,859048
321	28.08.2022 20:00:00	80,101229
322	28.08.2022 21:00:00	83,028352
323	28.08.2022 22:00:00	44,334411
324	28.08.2022 23:00:00	3,352699
325	29.08.2022 00:00:00	5,154924
326	29.08.2022 01:00:00	31,464217
327	29.08.2022 02:00:00	9,690142
328	29.08.2022 03:00:00	4,146958
329	29.08.2022 04:00:00	4,810864
330	29.08.2022 05:00:00	4,740189
331	29.08.2022 06:00:00	4,800413
332	29.08.2022 07:00:00	5,029598
333	29.08.2022 08:00:00	9,174072
334	29.08.2022 09:00:00	18,341366
335	29.08.2022 10:00:00	47,948681
336	29.08.2022 11:00:00	98,17688
337	29.08.2022 12:00:00	91,456246
338	29.08.2022 13:00:00	81,297152
339	29.08.2022 14:00:00	54,630306
340	29.08.2022 15:00:00	96,47622
341	29.08.2022 16:00:00	99,723492
342	29.08.2022 17:00:00	99,959265
343	29.08.2022 18:00:00	97,18052
344	29.08.2022 19:00:00	97,848946
345	29.08.2022 20:00:00	80,037604
346	29.08.2022 21:00:00	84,959726
347	29.08.2022 22:00:00	76,013418
348	29.08.2022 23:00:00	96,201644
349	30.08.2022 00:00:00	99,581915
350	30.08.2022 01:00:00	23,685919
351	30.08.2022 02:00:00	9,740193
352	30.08.2022 03:00:00	18,99222
353	30.08.2022 04:00:00	34,000998
354	30.08.2022 05:00:00	19,783693
355	30.08.2022 06:00:00	11,583967
356	30.08.2022 07:00:00	28,002142
357	30.08.2022 08:00:00	73,903903
358	30.08.2022 09:00:00	100,016956
359	30.08.2022 10:00:00	99,997042
360	30.08.2022 11:00:00	84,521051
361	30.08.2022 12:00:00	100
362	30.08.2022 13:00:00	100,000976
363	30.08.2022 14:00:00	99,578862
364	30.08.2022 15:00:00	96,868102
365	30.08.2022 16:00:00	83,650031
366	30.08.2022 17:00:00	99,895714
367	30.08.2022 18:00:00	101,31993
368	30.08.2022 19:00:00	75,593789
369	30.08.2022 20:00:00	10,330624
370	30.08.2022 21:00:00	6,81592
371	30.08.2022 22:00:00	6,494541
372	30.08.2022 23:00:00	6,931109
373	31.08.2022 00:00:00	5,962184
374	31.08.2022 01:00:00	4,869455
375	31.08.2022 02:00:00	3,731394
376	31.08.2022 03:00:00	0,62179
377	31.08.2022 04:00:00	3,311803
378	31.08.2022 05:00:00	1,835501
379	31.08.2022 06:00:00	1,101097
380	31.08.2022 07:00:00	4,34682
381	31.08.2022 08:00:00	17,400286
382	31.08.2022 09:00:00	27,593493
383	31.08.2022 10:00:00	47,129697
384	31.08.2022 11:00:00	78,182322
385	31.08.2022 12:00:00	85,351446
386	31.08.2022 13:00:00	100,153266
387	31.08.2022 14:00:00	99,756536
