	Vector time	gfs.168.112.total_boundary_cloud.comb
328	13.09.2022 19:00:00	-0,202047
329	13.09.2022 20:00:00	0,097038
330	13.09.2022 21:00:00	-0,052971
331	13.09.2022 22:00:00	0,000981
332	13.09.2022 23:00:00	0
333	14.09.2022 01:00:00	0,008313
334	14.09.2022 02:00:00	-0,00508
335	14.09.2022 03:00:00	0
336	14.09.2022 16:00:00	0,038299
337	14.09.2022 17:00:00	-0,013539
338	14.09.2022 18:00:00	2,127379
339	14.09.2022 19:00:00	7,743536
340	14.09.2022 20:00:00	7,647115
341	14.09.2022 21:00:00	7,020531
342	14.09.2022 22:00:00	24,279767
343	14.09.2022 23:00:00	47,881748
344	15.09.2022 00:00:00	35,396843
345	15.09.2022 01:00:00	28,694691
346	15.09.2022 02:00:00	12,014766
347	15.09.2022 03:00:00	7,985154
348	15.09.2022 04:00:00	2,800645
349	15.09.2022 05:00:00	1,832578
350	15.09.2022 06:00:00	1,807588
351	15.09.2022 07:00:00	7,796696
352	15.09.2022 08:00:00	7,785973
353	15.09.2022 09:00:00	7,621648
354	15.09.2022 10:00:00	5,504995
355	15.09.2022 11:00:00	-0,077463
356	15.09.2022 12:00:00	16,654569
357	15.09.2022 13:00:00	1,186158
358	15.09.2022 14:00:00	-1,951488
359	15.09.2022 15:00:00	-4,178783
360	15.09.2022 16:00:00	-6,436346
361	15.09.2022 17:00:00	0,026648
362	15.09.2022 18:00:00	-0,016674
363	15.09.2022 19:00:00	-0,052032
364	15.09.2022 20:00:00	1,150759
365	15.09.2022 21:00:00	3,357158
366	15.09.2022 22:00:00	28,140011
367	15.09.2022 23:00:00	36,878726
368	16.09.2022 00:00:00	
