	Vector time	gfs.168.114.total_precipitation.comb
217	09.09.2022 07:00:00	2,593091
218	09.09.2022 08:00:00	2,849411
219	09.09.2022 09:00:00	0,163836
220	09.09.2022 10:00:00	0,726565
221	09.09.2022 11:00:00	0,760032
222	09.09.2022 12:00:00	2,178483
223	09.09.2022 13:00:00	5,904044
224	09.09.2022 14:00:00	5,270417
225	09.09.2022 15:00:00	0,505377
226	09.09.2022 16:00:00	1,35969
227	09.09.2022 17:00:00	1,243278
228	09.09.2022 18:00:00	1,34498
229	09.09.2022 19:00:00	1,721556
230	09.09.2022 20:00:00	1,378664
231	09.09.2022 21:00:00	0
232	09.09.2022 23:00:00	0,000034
233	10.09.2022 03:00:00	0
234	10.09.2022 05:00:00	0,437644
235	10.09.2022 06:00:00	1,281532
236	10.09.2022 07:00:00	4,279243
237	10.09.2022 08:00:00	7,757277
238	10.09.2022 09:00:00	1,345909
239	10.09.2022 10:00:00	6,855311
240	10.09.2022 11:00:00	11,29231
241	10.09.2022 12:00:00	14,908163
242	10.09.2022 13:00:00	10,827773
243	10.09.2022 14:00:00	9,258882
244	10.09.2022 15:00:00	0,909498
245	10.09.2022 16:00:00	4,747747
246	10.09.2022 17:00:00	2,70259
247	10.09.2022 18:00:00	2,895561
248	10.09.2022 19:00:00	3,552139
249	10.09.2022 20:00:00	4,533005
250	10.09.2022 21:00:00	-0,000094
251	10.09.2022 22:00:00	-0,000071
252	10.09.2022 23:00:00	-0,00048
253	11.09.2022 00:00:00	-0,000076
254	11.09.2022 02:00:00	-0,000088
255	11.09.2022 03:00:00	0
256	11.09.2022 04:00:00	0,003061
257	11.09.2022 05:00:00	0,001384
258	11.09.2022 06:00:00	0,001311
259	11.09.2022 07:00:00	0,001405
260	11.09.2022 08:00:00	-0,000031
261	11.09.2022 09:00:00	0,027643
262	11.09.2022 10:00:00	0,261633
263	11.09.2022 11:00:00	0,816381
264	11.09.2022 12:00:00	1,674621
265	11.09.2022 13:00:00	2,821171
266	11.09.2022 14:00:00	4,123105
267	11.09.2022 15:00:00	0,667208
268	11.09.2022 16:00:00	2,344958
269	11.09.2022 17:00:00	3,149858
270	11.09.2022 18:00:00	2,763427
271	11.09.2022 19:00:00	3,090159
272	11.09.2022 20:00:00	3,946866
273	11.09.2022 21:00:00	0,13109
274	11.09.2022 22:00:00	0,171234
275	11.09.2022 23:00:00	0,393032
276	12.09.2022 00:00:00	2,273214
277	12.09.2022 01:00:00	8,834054
278	12.09.2022 02:00:00	3,10893
279	12.09.2022 03:00:00	-0,01621
280	12.09.2022 04:00:00	0,128721
281	12.09.2022 05:00:00	0,480799
282	12.09.2022 06:00:00	0,653726
283	12.09.2022 07:00:00	0,929013
284	12.09.2022 08:00:00	0,816165
285	12.09.2022 09:00:00	0,206979
286	12.09.2022 10:00:00	0,719971
287	12.09.2022 11:00:00	1,043355
288	12.09.2022 12:00:00	1,453165
289	12.09.2022 13:00:00	0,941697
290	12.09.2022 14:00:00	0,881714
291	12.09.2022 15:00:00	0,000052
292	12.09.2022 16:00:00	-0,008126
