	Vector time	gfs.168.111.total_convective_cloud.comb
228	09.09.2022 03:00:00	51,901637
229	09.09.2022 04:00:00	32,514853
230	09.09.2022 05:00:00	-2,402735
231	09.09.2022 06:00:00	1,234188
232	09.09.2022 07:00:00	8,527667
233	09.09.2022 08:00:00	5,995518
234	09.09.2022 09:00:00	27,958829
235	09.09.2022 10:00:00	44,238345
236	09.09.2022 11:00:00	22,667283
237	09.09.2022 12:00:00	53,478377
238	09.09.2022 13:00:00	57,980113
239	09.09.2022 14:00:00	57,259798
240	09.09.2022 15:00:00	53,645555
241	09.09.2022 16:00:00	25,00056
242	09.09.2022 17:00:00	12,219498
243	09.09.2022 18:00:00	0,721802
244	09.09.2022 19:00:00	0,862812
245	09.09.2022 20:00:00	10,690808
246	09.09.2022 21:00:00	0
247	10.09.2022 02:00:00	2,979665
248	10.09.2022 03:00:00	0
249	10.09.2022 05:00:00	39,354046
250	10.09.2022 06:00:00	38,722986
251	10.09.2022 07:00:00	59,804158
252	10.09.2022 08:00:00	30,861312
253	10.09.2022 09:00:00	7,403715
254	10.09.2022 10:00:00	-0,822683
255	10.09.2022 11:00:00	-0,356178
256	10.09.2022 12:00:00	0,233122
257	10.09.2022 13:00:00	0,548902
258	10.09.2022 14:00:00	-0,467302
259	10.09.2022 15:00:00	44,198616
260	10.09.2022 16:00:00	40,077799
261	10.09.2022 17:00:00	2,729409
262	10.09.2022 18:00:00	2,255922
263	10.09.2022 19:00:00	22,426524
264	10.09.2022 20:00:00	16,05155
265	10.09.2022 21:00:00	-0,389695
266	10.09.2022 22:00:00	-0,169
267	10.09.2022 23:00:00	-0,899544
268	11.09.2022 00:00:00	0
269	11.09.2022 03:00:00	0,31301
270	11.09.2022 04:00:00	0,272722
271	11.09.2022 05:00:00	0
272	11.09.2022 08:00:00	-0,019901
273	11.09.2022 09:00:00	3,018148
274	11.09.2022 10:00:00	12,743809
275	11.09.2022 11:00:00	25,923402
276	11.09.2022 12:00:00	53,843739
277	11.09.2022 13:00:00	53,022714
278	11.09.2022 14:00:00	32,468236
279	11.09.2022 15:00:00	55,490687
280	11.09.2022 16:00:00	66,001967
281	11.09.2022 17:00:00	33,108041
282	11.09.2022 18:00:00	26,649012
283	11.09.2022 19:00:00	40,452585
284	11.09.2022 20:00:00	41,711652
285	11.09.2022 21:00:00	18,841588
286	11.09.2022 22:00:00	12,015197
287	11.09.2022 23:00:00	9,142156
288	12.09.2022 00:00:00	21,122747
289	12.09.2022 01:00:00	32,975348
290	12.09.2022 02:00:00	30,165931
291	12.09.2022 03:00:00	0,53036
292	12.09.2022 04:00:00	-0,20869
293	12.09.2022 05:00:00	4,724709
294	12.09.2022 06:00:00	7,029555
295	12.09.2022 07:00:00	-0,813393
296	12.09.2022 08:00:00	-1,284814
297	12.09.2022 09:00:00	-0,882898
298	12.09.2022 10:00:00	-0,098086
299	12.09.2022 11:00:00	0
300	12.09.2022 12:00:00	0,000042
301	12.09.2022 13:00:00	0,14589
302	12.09.2022 14:00:00	0,000462
303	12.09.2022 15:00:00	-0,443398
304	12.09.2022 16:00:00	1,67742
305	12.09.2022 17:00:00	1,938075
306	12.09.2022 18:00:00	0,655798
307	12.09.2022 19:00:00	-0,10311
308	12.09.2022 20:00:00	-0,000976
309	12.09.2022 21:00:00	-0,00161
310	12.09.2022 22:00:00	-0,000654
311	12.09.2022 23:00:00	0
312	13.09.2022 00:00:00	-0,010883
313	13.09.2022 01:00:00	-0,000878
314	13.09.2022 02:00:00	0
315	13.09.2022 03:00:00	-0,06554
316	13.09.2022 04:00:00	0,393574
317	13.09.2022 05:00:00	0,372072
318	13.09.2022 06:00:00	0,021523
319	13.09.2022 07:00:00	0,11488
320	13.09.2022 08:00:00	0,0849
321	13.09.2022 09:00:00	2,053415
322	13.09.2022 10:00:00	14,172974
323	13.09.2022 11:00:00	17,472152
324	13.09.2022 12:00:00	11,750131
325	13.09.2022 13:00:00	13,660008
326	13.09.2022 14:00:00	17,79652
327	13.09.2022 15:00:00	15,411265
328	13.09.2022 16:00:00	2,438795
329	13.09.2022 17:00:00	0,183685
330	13.09.2022 18:00:00	0,177344
331	13.09.2022 19:00:00	0
332	14.09.2022 14:00:00	-0,048698
333	14.09.2022 15:00:00	0,377486
334	14.09.2022 16:00:00	0,018757
335	14.09.2022 17:00:00	0
336	14.09.2022 18:00:00	10,868097
337	14.09.2022 19:00:00	0,108693
338	14.09.2022 20:00:00	4,535461
339	14.09.2022 21:00:00	18,703033
340	14.09.2022 22:00:00	9,156673
341	14.09.2022 23:00:00	1,942719
342	15.09.2022 00:00:00	20,308481
343	15.09.2022 01:00:00	0
344	15.09.2022 05:00:00	0,695155
345	15.09.2022 06:00:00	13,924315
346	15.09.2022 07:00:00	0
347	15.09.2022 08:00:00	0,947834
348	15.09.2022 09:00:00	3,392469
349	15.09.2022 10:00:00	20,595211
350	15.09.2022 11:00:00	0,035441
351	15.09.2022 12:00:00	21,180852
352	15.09.2022 13:00:00	37,00197
353	15.09.2022 14:00:00	24,885816
354	15.09.2022 15:00:00	11,073467
355	15.09.2022 16:00:00	41,908401
356	15.09.2022 17:00:00	31,958758
357	15.09.2022 18:00:00	35,850047
358	15.09.2022 19:00:00	37,674883
359	15.09.2022 20:00:00	62,920462
360	15.09.2022 21:00:00	52,340833
361	15.09.2022 22:00:00	38,024869
362	15.09.2022 23:00:00	49,095644
363	16.09.2022 00:00:00	
